date,time,value
2021-07-07,13-25,"0x00024"
2021-07-07,13-30,"0x00024"
2021-07-07,13-35,"0x00024"
2021-07-07,13-40,"0x00024"
2021-07-07,13-45,"0x00024"
2021-07-07,13-50,"0x00024"
2021-07-07,13-55,"0x00024"
2021-07-07,14-00,"0x00024"
2021-07-07,14-05,"0x00024"
2021-07-07,14-10,"0x00024"
2021-07-07,14-15,"0x00024"
2021-07-07,14-20,"0x00024"
2021-07-07,14-25,"0x00024"
2021-07-07,14-30,"0x00024"
2021-07-07,14-35,"0x00024"
2021-07-07,14-40,"0x00024"
2021-07-07,14-45,"0x00024"
2021-07-07,14-50,"0x00024"
2021-07-07,14-55,"0x00024"
2021-07-07,15-00,"0x00024"
2021-07-07,15-05,"0x00024"
2021-07-07,15-10,"0x00024"
2021-07-07,15-15,"0x00024"
2021-07-07,15-20,"0x00024"
2021-07-07,15-25,"0x00024"
2021-07-07,15-30,"0x00024"
2021-07-07,15-35,"0x00024"
2021-07-07,15-40,"0x00024"
2021-07-07,15-45,"0x00024"
2021-07-07,15-50,"0x00024"
2021-07-07,15-55,"0x00024"
2021-07-07,16-00,"0x00024"
2021-07-07,16-05,"0x00024"
2021-07-07,16-10,"0x00024"
2021-07-07,16-15,"0x00024"
2021-07-07,16-20,"0x00024"
2021-07-07,16-25,"0x00024"
2021-07-07,16-30,"0x00024"
2021-07-07,16-36,"0x00024"
2021-07-07,16-41,"0x00024"
2021-07-07,16-46,"0x00024"
2021-07-07,16-51,"0x00024"
2021-07-07,16-56,"0x00024"
2021-07-07,17-01,"0x00024"
2021-07-07,17-06,"0x00024"
2021-07-07,17-11,"0x00024"
2021-07-07,17-16,"0x00024"
2021-07-07,17-21,"0x00024"
2021-07-07,17-26,"0x00024"
2021-07-07,17-31,"0x00024"
2021-07-07,17-36,"0x00024"
2021-07-07,17-41,"0x00024"
2021-07-07,17-46,"0x00024"
2021-07-07,17-51,"0x00024"
2021-07-07,17-56,"0x00024"
2021-07-07,18-01,"0x00024"
2021-07-07,18-06,"0x00024"
2021-07-07,18-11,"0x00024"
2021-07-07,18-16,"0x00024"
2021-07-07,18-21,"0x00024"
2021-07-07,18-26,"0x00024"
2021-07-07,18-31,"0x00024"
2021-07-07,18-36,"0x00024"
2021-07-07,18-41,"0x00024"
2021-07-07,18-46,"0x00024"
2021-07-07,18-51,"0x00024"
2021-07-07,18-56,"0x00024"
2021-07-07,19-01,"0x00024"
2021-07-07,19-06,"0x00024"
2021-07-07,19-11,"0x00024"
2021-07-07,19-16,"0x00024"
2021-07-07,19-21,"0x00024"
2021-07-07,19-26,"0x00024"
2021-07-07,19-31,"0x00024"
2021-07-07,19-36,"0x00024"
2021-07-07,19-41,"0x00024"
2021-07-07,19-46,"0x00024"
2021-07-07,19-51,"0x00024"
2021-07-07,19-56,"0x00024"
2021-07-07,20-01,"0x00024"
2021-07-07,20-06,"0x00024"
2021-07-07,20-11,"0x00024"
2021-07-07,20-16,"0x00024"
2021-07-07,20-21,"0x00024"
2021-07-07,20-26,"0x00024"
2021-07-07,20-31,"0x00024"
2021-07-07,20-36,"0x00024"
2021-07-07,20-41,"0x00024"
2021-07-07,20-46,"0x00024"
2021-07-07,20-51,"0x00024"
2021-07-07,20-56,"0x00024"
2021-07-07,21-01,"0x00024"
2021-07-07,21-06,"0x00024"
2021-07-07,21-11,"0x00024"
2021-07-07,21-16,"0x00024"
2021-07-07,21-21,"0x00024"
2021-07-07,21-26,"0x00024"
2021-07-07,21-31,"0x00024"
2021-07-07,21-36,"0x00024"
2021-07-07,21-41,"0x00024"
2021-07-07,21-46,"0x00024"
2021-07-07,21-51,"0x00024"
2021-07-07,21-56,"0x00024"
2021-07-07,22-01,"0x00024"
2021-07-07,22-06,"0x00024"
2021-07-07,22-11,"0x00024"
2021-07-07,22-16,"0x00024"
2021-07-07,22-21,"0x00024"
2021-07-07,22-26,"0x00024"
2021-07-07,22-31,"0x00024"
2021-07-07,22-36,"0x00024"
2021-07-07,22-41,"0x00024"
2021-07-07,22-46,"0x00024"
2021-07-07,22-51,"0x00024"
2021-07-07,22-56,"0x00024"
2021-07-07,23-01,"0x00024"
